Year,Country,Winner,Runners-Up
1930,Uruguay,Uruguay,Argentina
1934,Italy,Italy,Czechoslovakia
1938,France,Italy,Hungary
1950,Brazil,Uruguay,Brazil
1954,Switzerland,Germany FR,Hungary
1958,Sweden,Brazil,Sweden
